method	endpoint	file
POST	/investments	routes/costingRoutes.js
DELETE	/investments/:id	routes/costingRoutes.js
GET	/investments/:id	routes/costingRoutes.js
PUT	/investments/:id	routes/costingRoutes.js
POST	/items	routes/menuRoutes.js
DELETE	/items/:id	routes/menuRoutes.js
PATCH	/items/:id	routes/menuRoutes.js
PATCH	/items/:id/availability	routes/menuRoutes.js
GET	/labour-costs	routes/costing-v2Routes.js
POST	/labour-costs	routes/costing-v2Routes.js
GET	/list	routes/paymentQrRoutes.js
POST	/login	routes/adminRoutes.js
POST	/login	routes/userRoutes.js
POST	/logout	routes/userRoutes.js
POST	/logout-all	routes/adminRoutes.js
GET	/lookup/:slug	routes/tableRoutes.js
GET	/low-stock	routes/costing-v2Routes.js
GET	/mappings	routes/employeeSkillsRoutes.js
POST	/mappings	routes/employeeSkillsRoutes.js
DELETE	/mappings/:id	routes/employeeSkillsRoutes.js
PUT	/mappings/:id	routes/employeeSkillsRoutes.js
GET	/mappings/employee/:employeeId	routes/employeeSkillsRoutes.js
GET	/me	routes/userRoutes.js
GET	/menu	routes/analyticsRoutes.js
GET	/menu-items	routes/costing-v2Routes.js
POST	/menu-items	routes/costing-v2Routes.js
DELETE	/menu-items/:id	routes/costing-v2Routes.js
PUT	/menu-items/:id	routes/costing-v2Routes.js
POST	/menu-items/import-from-default	routes/costing-v2Routes.js
POST	/menu-items/link-matching-boms	routes/costing-v2Routes.js
POST	/menu-items/sync-from-default	routes/costing-v2Routes.js
POST	/menu-page	routes/translationRoutes.js
POST	/merge	routes/tableRoutes.js
GET	/meta/constants	routes/paymentRoutes.js
GET	/meta/spice-levels	routes/menuRoutes.js
GET	/my	routes/leaveRequestRoutes.js
GET	/my	routes/taskRoutes.js
GET	/my-schedule	routes/employeeScheduleRoutes.js
GET	/my-settings	routes/cartRoutes.js
PUT	/my-settings	routes/cartRoutes.js
GET	/nearby	routes/cartRoutes.js
POST	/network	routes/printRoutes.js
POST	/notifications/cart-broadcast	routes/notificationRoutes.js
GET	/order/:orderId/all	routes/paymentRoutes.js
GET	/order/:orderId/latest	routes/paymentRoutes.js
GET	/orders	routes/analyticsRoutes.js
GET	/outlet-assets	routes/costingRoutes.js
POST	/outlet-assets	routes/costingRoutes.js
DELETE	/outlet-assets/:id	routes/costingRoutes.js
PUT	/outlet-assets/:id	routes/costingRoutes.js
GET	/outlet-opex	routes/costingRoutes.js
POST	/outlet-opex	routes/costingRoutes.js
DELETE	/outlet-opex/:id	routes/costingRoutes.js
PUT	/outlet-opex/:id	routes/costingRoutes.js
GET	/outlets	routes/costing-v2Routes.js
GET	/overheads	routes/costing-v2Routes.js
POST	/overheads	routes/costing-v2Routes.js
GET	/overview	routes/dailyTaskRoutes.js
POST	/parse	routes/voiceInventoryRoutes.js
GET	/past	routes/attendanceRoutes.js
GET	/pending	routes/customerRequestRoutes.js
GET	/pending	routes/kotRoutes.js
GET	/pending	routes/printQueueRoutes.js
GET	/pending-kots	routes/printRoutes.js
GET	/performance	routes/dashboardRoutes.js
GET	/public	routes/addonRoutes.js
GET	/public	routes/menuRoutes.js
GET	/public	routes/tableRoutes.js
POST	/public	routes/feedbackRoutes.js
GET	/public-cart-id/:tableId	routes/tableRoutes.js
GET	/public-contact	routes/cartRoutes.js
GET	/purchases	routes/costing-v2Routes.js
POST	/purchases	routes/costing-v2Routes.js
POST	/purchases/:id/receive	routes/costing-v2Routes.js
POST	/push-to-cart-admins	routes/costing-v2Routes.js
POST	/push/cafe/:cartId	routes/defaultMenuRoutes.js
POST	/push/franchise/:franchiseId	routes/defaultMenuRoutes.js
GET	/recent-activity	routes/dashboardRoutes.js
GET	/recipes	routes/costing-v2Routes.js
GET	/recipes	routes/costingRoutes.js
POST	/recipes	routes/costing-v2Routes.js
POST	/recipes	routes/costingRoutes.js
DELETE	/recipes/:id	routes/costing-v2Routes.js
DELETE	/recipes/:id	routes/costingRoutes.js
GET	/recipes/:id	routes/costingRoutes.js
PUT	/recipes/:id	routes/costing-v2Routes.js
PUT	/recipes/:id	routes/costingRoutes.js
POST	/recipes/:id/calculate-cost	routes/costing-v2Routes.js
POST	/register-cafe-admin	routes/userRoutes.js
POST	/register-cafe-admin-public	routes/userRoutes.js
GET	/reports/cost-per-dish	routes/costingRoutes.js
GET	/reports/food-cost	routes/costing-v2Routes.js
