file	line	method	prefix	path	auth	roles	endpoint
routes/defaultMenuRoutes.js	20	POST	(unmounted?)	/push/cafe/:cartId	none		/push/cafe/:cartId
routes/defaultMenuRoutes.js	19	POST	(unmounted?)	/push/franchise/:franchiseId	none		/push/franchise/:franchiseId
routes/costingRoutes.js	112	GET	(unmounted?)	/recipes	none		/recipes
routes/costingRoutes.js	114	POST	(unmounted?)	/recipes	none		/recipes
routes/costingRoutes.js	116	DELETE	(unmounted?)	/recipes/:id	none		/recipes/:id
routes/costingRoutes.js	113	GET	(unmounted?)	/recipes/:id	none		/recipes/:id
routes/costingRoutes.js	115	PUT	(unmounted?)	/recipes/:id	none		/recipes/:id
routes/costingRoutes.js	144	GET	(unmounted?)	/reports/cost-per-dish	none		/reports/cost-per-dish
routes/costingRoutes.js	141	GET	(unmounted?)	/reports/pnl	none		/reports/pnl
routes/costingRoutes.js	143	GET	(unmounted?)	/reports/profitability	none		/reports/profitability
routes/costingRoutes.js	142	GET	(unmounted?)	/reports/roi	none		/reports/roi
routes/analyticsRoutes.js	49	GET	(unmounted?)	/revenue	authorize	adminRoles	/revenue
routes/geocodeRoutes.js	8	GET	(unmounted?)	/reverse	none		/reverse
routes/notificationRoutes.js	17	POST	(unmounted?)	/save-token	none		/save-token
routes/customerRoutes.js	18	GET	(unmounted?)	/search	none		/search
routes/employeeSkillsRoutes.js	19	GET	(unmounted?)	/skills	protect		/skills
routes/employeeSkillsRoutes.js	20	POST	(unmounted?)	/skills	none		/skills
routes/employeeSkillsRoutes.js	22	DELETE	(unmounted?)	/skills/:id	none		/skills/:id
routes/employeeSkillsRoutes.js	21	PUT	(unmounted?)	/skills/:id	none		/skills/:id
routes/attendanceRoutes.js	51	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/stats
routes/complianceRoutes.js	19	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/stats
routes/customerRequestRoutes.js	30	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/stats
routes/customerRoutes.js	15	GET	(unmounted?)	/stats	protect		/stats
routes/feedbackRoutes.js	18	GET	(unmounted?)	/stats	protect		/stats
routes/inventoryRoutes.js	23	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/stats
routes/kotRoutes.js	198	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/stats
routes/taskRoutes.js	29	GET	(unmounted?)	/stats	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/stats
routes/waitlistRoutes.js	15	GET	(unmounted?)	/status	none		/status
routes/analyticsRoutes.js	37	GET	(unmounted?)	/summary	authorize	adminRoles	/summary
routes/paymentRoutes.js	28	POST	(unmounted?)	/sync-paid	none		/sync-paid
routes/waitlistRoutes.js	18	GET	(unmounted?)	/table/:id	none		/table/:id
routes/waitlistRoutes.js	19	POST	(unmounted?)	/table/:id/notify-next	none		/table/:id/notify-next
routes/orderRoutes.js	37	GET	(unmounted?)	/takeaway-token/next	authorize	["admin"]	/takeaway-token/next
routes/paymentQrRoutes.js	15	GET	(unmounted?)	/test	none		/test
routes/printRoutes.js	21	POST	(unmounted?)	/test	none		/test
routes/attendanceRoutes.js	36	GET	(unmounted?)	/today	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/today
routes/taskRoutes.js	26	GET	(unmounted?)	/today	authorize	["waiter", "cook", "captain", "manager"]	/today
routes/aiSessionRoutes.js	7	POST	(unmounted?)	/token	none		/token
routes/paymentQrRoutes.js	25	POST	(unmounted?)	/upload	authorize	["admin", "franchise_admin", "super_admin"]	/upload
routes/menuRoutes.js	43	GET	(unmounted?)	/uploads	none		/uploads
routes/menuRoutes.js	50	POST	(unmounted?)	/uploads	none		/uploads
routes/adminRoutes.js	18	GET	(unmounted?)	/verify	protect		/verify
routes/appUpdateRoutes.js	9	GET	(unmounted?)	/version	none		/version
